issueNumber,premium,dice1,dice2,dice3,sum,big_small,odd_even,shape,issue_number
20260818101010805,442,4,4,2,10.0,Small,Even,,20260818101010805
20260818101010804,256,2,5,6,13.0,Big,Odd,,20260818101010804
20260818101010803,456,4,5,6,15.0,Big,Odd,,20260818101010803
20260818101010802,133,1,3,3,7.0,Small,Odd,,20260818101010802
20260818101010801,632,6,3,2,11.0,Big,Odd,,20260818101010801
20260818101010800,346,3,4,6,13.0,Big,Odd,,20260818101010800
20260818101010799,116,1,1,6,8.0,Small,Even,,20260818101010799
20260818101010798,631,6,3,1,10.0,Small,Even,,20260818101010798
20260818101010797,546,5,4,6,15.0,Big,Odd,,20260818101010797
20260818101010796,253,2,5,3,10.0,Small,Even,,20260818101010796
20260818101010795,221,2,2,1,5.0,Small,Odd,,20260818101010795
20260818101010794,512,5,1,2,8.0,Small,Even,,20260818101010794
20260818101010793,364,3,6,4,13.0,Big,Odd,,20260818101010793
20260818101010792,231,2,3,1,6.0,Small,Even,,20260818101010792
20260818101010791,363,3,6,3,12.0,Big,Even,,20260818101010791
20260818101010790,515,5,1,5,11.0,Big,Odd,,20260818101010790
20260818101010789,666,6,6,6,18.0,Big,Even,,20260818101010789
20260818101010788,262,2,6,2,10.0,Small,Even,,20260818101010788
20260818101010787,565,5,6,5,16.0,Big,Even,,20260818101010787
20260818101010786,564,5,6,4,15.0,Big,Odd,,20260818101010786
20260818101010785,633,6,3,3,12.0,Big,Even,,20260818101010785
20260818101010784,263,2,6,3,11.0,Big,Odd,,20260818101010784
20260818101010783,514,5,1,4,10.0,Small,Even,,20260818101010783
20260818101010782,425,4,2,5,11.0,Big,Odd,,20260818101010782
20260818101010781,354,3,5,4,12.0,Big,Even,,20260818101010781
20260818101010780,141,1,4,1,6.0,Small,Even,,20260818101010780
20260818101010779,143,1,4,3,8.0,Small,Even,,20260818101010779
20260818101010778,163,1,6,3,10.0,Small,Even,,20260818101010778
20260818101010777,441,4,4,1,9.0,Small,Odd,,20260818101010777
20260818101010776,224,2,2,4,8.0,Small,Even,,20260818101010776
20260818101010775,234,2,3,4,9.0,Small,Odd,,20260818101010775
20260818101010774,624,6,2,4,12.0,Big,Even,,20260818101010774
20260818101010773,315,3,1,5,9.0,Small,Odd,,20260818101010773
20260818101010772,432,4,3,2,9.0,Small,Odd,,20260818101010772
20260818101010771,452,4,5,2,11.0,Big,Odd,,20260818101010771
20260818101010770,615,6,1,5,12.0,Big,Even,,20260818101010770
20260818101010769,664,6,6,4,16.0,Big,Even,,20260818101010769
20260818101010768,514,5,1,4,10.0,Small,Even,,20260818101010768
